Answer	| Decision Tree
cat	: non-cat (12)	~ 1.000000
cat	: non-cat (8)	~ 1.000000
cat	: non-cat (29)	~ 1.000000
cat	: cat (6)	~ 0.600000
cat	: cat (11)	~ 0.733333
non-cat	: cat (6)	~ 1.000000
cat	: cat (11)	~ 0.733333
cat	: cat (3)	~ 1.000000
cat	: cat (11)	~ 0.733333
cat	: cat (6)	~ 1.000000
cat	: cat (4)	~ 1.000000
cat	: cat (6)	~ 0.600000
cat	: non-cat (17)	~ 0.809524
non-cat	: cat (3)	~ 1.000000
non-cat	: non-cat (9)	~ 1.000000
cat	: non-cat (8)	~ 1.000000
non-cat	: non-cat (1)	~ 1.000000
cat	: cat (11)	~ 0.733333
cat	: cat (6)	~ 0.600000
cat	: non-cat (8)	~ 1.000000
cat	: non-cat (7)	~ 1.000000
non-cat	: cat (6)	~ 1.000000
non-cat	: non-cat (29)	~ 1.000000
cat	: non-cat (2)	~ 1.000000
cat	: cat (2)	~ 1.000000
cat	: cat (6)	~ 1.000000
cat	: cat (11)	~ 0.733333
non-cat	: cat (6)	~ 1.000000
cat	: non-cat (8)	~ 1.000000
non-cat	: cat (3)	~ 1.000000
cat	: cat (6)	~ 1.000000
cat	: cat (11)	~ 0.733333
cat	: cat (11)	~ 0.733333
cat	: non-cat (17)	~ 0.809524
non-cat	: non-cat (17)	~ 0.809524
non-cat	: non-cat (7)	~ 1.000000
non-cat	: non-cat (29)	~ 1.000000
cat	: cat (4)	~ 1.000000
non-cat	: non-cat (29)	~ 1.000000
non-cat	: cat (12)	~ 1.000000
cat	: cat (3)	~ 1.000000
cat	: non-cat (3)	~ 1.000000
cat	: non-cat (9)	~ 1.000000
non-cat	: non-cat (8)	~ 1.000000
non-cat	: cat (6)	~ 1.000000
non-cat	: cat (12)	~ 1.000000
cat	: cat (6)	~ 0.600000
cat	: non-cat (17)	~ 0.809524
cat	: non-cat (7)	~ 1.000000
non-cat	: non-cat (12)	~ 1.000000

Accuracy: 28 matched, M ~ 0.560000, E ~ 0.084571
