Answer	| Decision Tree
cat	: non-cat (12)	~ 1.000000
cat	: non-cat (8)	~ 1.000000
cat	: non-cat (29)	~ 1.000000
cat	: cat (6)	~ 1.000000
cat	: non-cat (3)	~ 1.000000
non-cat	: cat (6)	~ 1.000000
cat	: non-cat (3)	~ 1.000000
cat	: cat (3)	~ 1.000000
cat	: cat (4)	~ 1.000000
cat	: cat (6)	~ 1.000000
cat	: cat (4)	~ 1.000000
cat	: cat (6)	~ 1.000000
cat	: non-cat (12)	~ 1.000000
non-cat	: cat (3)	~ 1.000000
non-cat	: non-cat (9)	~ 1.000000
cat	: non-cat (8)	~ 1.000000
non-cat	: non-cat (1)	~ 1.000000
cat	: cat (7)	~ 1.000000
cat	: non-cat (3)	~ 1.000000
cat	: non-cat (8)	~ 1.000000
cat	: non-cat (7)	~ 1.000000
non-cat	: cat (6)	~ 1.000000
non-cat	: non-cat (29)	~ 1.000000
cat	: non-cat (2)	~ 1.000000
cat	: cat (2)	~ 1.000000
cat	: cat (6)	~ 1.000000
cat	: cat (4)	~ 1.000000
non-cat	: cat (6)	~ 1.000000
cat	: non-cat (8)	~ 1.000000
non-cat	: cat (3)	~ 1.000000
cat	: cat (6)	~ 1.000000
cat	: cat (7)	~ 1.000000
cat	: cat (7)	~ 1.000000
cat	: non-cat (12)	~ 1.000000
non-cat	: non-cat (12)	~ 1.000000
non-cat	: non-cat (7)	~ 1.000000
non-cat	: non-cat (29)	~ 1.000000
cat	: cat (4)	~ 1.000000
non-cat	: non-cat (29)	~ 1.000000
non-cat	: cat (12)	~ 1.000000
cat	: cat (3)	~ 1.000000
cat	: non-cat (3)	~ 1.000000
cat	: non-cat (9)	~ 1.000000
non-cat	: non-cat (8)	~ 1.000000
non-cat	: cat (6)	~ 1.000000
non-cat	: cat (12)	~ 1.000000
cat	: cat (6)	~ 1.000000
cat	: non-cat (12)	~ 1.000000
cat	: non-cat (7)	~ 1.000000
non-cat	: non-cat (12)	~ 1.000000

Accuracy: 25 matched, M ~ 0.500000, E ~ 0.000000
