Answer	| Decision Tree
cat	: non-cat (24)	~ 1.000000
cat	: non-cat (1)	~ 1.000000
cat	: non-cat (29)	~ 1.000000
cat	: cat (1)	~ 1.000000
cat	: cat (6)	~ 1.000000
non-cat	: non-cat (13)	~ 1.000000
cat	: cat (6)	~ 1.000000
cat	: cat (3)	~ 1.000000
cat	: non-cat (5)	~ 1.000000
cat	: non-cat (13)	~ 1.000000
cat	: non-cat (12)	~ 1.000000
cat	: non-cat (7)	~ 1.000000
cat	: cat (7)	~ 1.000000
non-cat	: cat (3)	~ 1.000000
non-cat	: non-cat (24)	~ 1.000000
cat	: non-cat (8)	~ 1.000000
non-cat	: non-cat (5)	~ 1.000000
cat	: cat (6)	~ 1.000000
cat	: non-cat (12)	~ 1.000000
cat	: non-cat (8)	~ 1.000000
cat	: non-cat (9)	~ 1.000000
non-cat	: cat (11)	~ 1.000000
non-cat	: non-cat (29)	~ 1.000000
cat	: cat (11)	~ 1.000000
cat	: non-cat (12)	~ 1.000000
cat	: cat (6)	~ 1.000000
cat	: cat (4)	~ 1.000000
non-cat	: non-cat (4)	~ 1.000000
cat	: non-cat (9)	~ 1.000000
non-cat	: cat (11)	~ 1.000000
cat	: cat (6)	~ 1.000000
cat	: cat (6)	~ 1.000000
cat	: non-cat (1)	~ 1.000000
cat	: non-cat (5)	~ 1.000000
non-cat	: non-cat (24)	~ 1.000000
non-cat	: non-cat (12)	~ 1.000000
non-cat	: non-cat (29)	~ 1.000000
cat	: non-cat (1)	~ 1.000000
non-cat	: non-cat (29)	~ 1.000000
non-cat	: cat (6)	~ 1.000000
cat	: cat (11)	~ 1.000000
cat	: cat (7)	~ 1.000000
cat	: cat (3)	~ 1.000000
non-cat	: cat (7)	~ 1.000000
non-cat	: non-cat (13)	~ 1.000000
non-cat	: cat (7)	~ 1.000000
cat	: cat (4)	~ 1.000000
cat	: cat (6)	~ 1.000000
cat	: non-cat (12)	~ 1.000000
non-cat	: non-cat (24)	~ 1.000000

Accuracy: 27 matched, M ~ 0.540000, E ~ 0.000000
